t,lambda,alpha,mean,stderr,cvar0.05
316.228,1,0.789163,600,0,600,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177.828,1,0.865446,1040.57,2.35548,881.9,15,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,0.909958,1685.06,12.4103,848.85,15,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.2341,1,0.938259,2763.79,31.0682,1177.45,4,52,130,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.6228,1,0.957014,4685.56,53.2029,2132.2,0,5,31,61,106,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.7828,1,0.969755,8081.99,75.3134,4838.7,0,0,0,1,10,27,64,70,99,78,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0.978552,13986.7,85.5598,9840.5,0,0,0,0,0,0,0,1,0,11,9,32,51,74,99,80,43,0,0,0,0,0,0,0,0,0,0,0,0,0
5.62341,1,0.984699,19194.9,27.1592,17926.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,128,242,22,0,0,0,0,0,0,0,0,0
3.16228,1,0.989032,20161.1,29.1589,18975.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,153,209,26,2,0,0,0,0,0,0,0
1.77828,1,0.992107,19029.2,30.527,17810.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,183,179,22,0,0,0,0,0,0,0,0,0
1,1,0.994301,17462.4,26.1219,16374.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,272,54,1,0,0,0,0,0,0,0,0,0,0
316.228,0,0,600,0,600,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177.828,0,0,1050,0,1050,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,1680.72,5.39631,1370.5,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.2341,0,0,2751.36,30.9948,1185.5,3,59,120,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.6228,0,0,4709.88,50.3004,2399.75,0,4,25,70,106,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.7828,0,0,8147.51,76.8199,4596.7,0,0,0,3,11,24,59,66,94,88,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,13670,88.9576,9459,0,0,0,0,0,0,1,0,4,10,19,39,61,72,95,73,26,0,0,0,0,0,0,0,0,0,0,0,0,0
5.62341,0,0,19052,31.4838,17224.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,12,141,225,14,0,0,0,0,0,0,0,0,0
3.16228,0,0,20173.6,28.8071,19022.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,156,212,24,1,0,0,0,0,0,0,0
1.77828,0,0,19051.6,30.9939,17727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,169,191,21,1,0,0,0,0,0,0,0,0
1,0,0,17468.3,26.1828,16511.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,251,65,1,0,0,0,0,0,0,0,0,0,0
316.228,1,0.05,599.725,0.250272,594.5,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177.828,1,0.05,1041.49,2.47189,881.05,14,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,0.05,1706.61,10.6422,953.15,8,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.2341,1,0.05,2822.97,28.3581,1316.6,1,42,129,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.6228,1,0.05,4755.27,46.7923,2498.6,0,0,25,64,116,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.7828,1,0.05,8093.98,75.431,4827.8,0,0,0,1,10,31,60,77,93,71,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0.05,14145.4,92.3089,9758.6,0,0,0,0,0,0,0,0,3,10,14,35,38,52,89,99,56,4,0,0,0,0,0,0,0,0,0,0,0,0
5.62341,1,0.05,19241.9,26.9083,18036.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,112,251,31,0,0,0,0,0,0,0,0,0
3.16228,1,0.05,18711.2,27.8819,17545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,239,118,4,0,0,0,0,0,0,0,0,0
1.77828,1,0.05,16828.6,20.4013,16025.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,256,136,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.05,15875.1,15.7263,15247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,267,130,0,0,0,0,0,0,0,0,0,0,0,0,0
